title,date_written,date_published,form,collaborators,year_written,year_published
winged death,c. summer 1932,mar 1934,,hazel heald,1932,1934
satan's servants,1935,1949,,robert bloch,1935,1949
the loved dead,1919,may 1924,,c. m. eddy jr.,1919,1924
the ghost-eater,,apr 1924,,c. m. eddy jr.,,1924
"deaf, dumb and blind",,apr 1925,,c. m. eddy jr.,,1925
ashes,1923,mar 1924,,c. m. eddy jr.,1923,1924
the black lotus,1934,1935,,robert bloch,1934,1935
the red brain,1924,oct 1927,,donald wandrei,1924,1927
vine terror,1923,sep 1934,,howard wandrei,1923,1934
something from above,1929,dec 1930,,donald wandrei,1929,1930
the werewolf of ponkert,1924,jul 1925,,h. warner munn,1924,1925
the salem horror,1936,may 1937,,henry kuttner,1936,1937
